# Wordlist

# DATA
ID	CONCEPT	COUNTERPART	DOCULECT	COGID	TOKENS	IPA
34	*bukkaz	bok	Dutch	9	b ɔ k	bɔk
#
1299	*burdan	*burdan	Proto-Germanic	357	b u r d	burdan
1300	*burdan	Bord	German	357	b ɔ r t	bɔrt
1301	*burdan	board	English	357	b ɔː d	bɔːd
1302	*burdan	bord	Dutch	357	b ɔ r t	bɔrt
#
387	*burdiz	*burdiz	Proto-Germanic	107	b u r d	burdiz
388	*burdiz	Geburt	German	107	ɡ ə b uː r t	ɡəbuːrt
389	*burdiz	birth	English	107	b ɜː θ	bɜːθ
390	*burdiz	geboorte	Dutch	107	x ə b oː r t ə	xəboːrtə
#
379	*burōjanan	*burōjanan	Proto-Germanic	105	b u r oː j a n	buroːjanan
380	*burōjanan	bohren	German	105	b oː r ə n	boːrən
381	*burōjanan	bore	English	105	b ɔː r	bɔːr
382	*burōjanan	boren	Dutch	105	b oː r ə	boːrə
#
638	*bō	*bō	Proto-Germanic	176	b oː	boː
639	*bō	beide	German	176	b ai d ə	baidə
640	*bō	both	English	176	b əʊ θ	bəʊθ
641	*bō	beide	Dutch	176	b ɛɪ d ə	bɛɪdə
#
222	*bōguz	*bōguz	Proto-Germanic	62	b oː g	boːguz
223	*bōguz	Bug	German	62	b uː k	buːk
224	*bōguz	bough	English	62	b aʊ	baʊ
#
934	*bōkz	*bōkz	Proto-Germanic	257	b oː k z	boːkz
935	*bōkz	Buch	German	257	b uː x	buːx
936	*bōkz	book	English	257	b ʊ k	bʊk
937	*bōkz	boek	Dutch	257	b uː k	buːk
#
1862	*bōkō	*bōkō	Proto-Germanic	511	b oː k oː	boːkoː
1863	*bōkō	Buche	German	511	b uː x ə	buːxə
1864	*bōkō	beech	English	511	b iː ʧ	biːʧ
1865	*bōkō	beukeboom	Dutch	511	b øː k ə b oː m	bøːkəboːm
#
23	*bōsmaz	*bōsmaz	Proto-Germanic	7	b oː s m	boːsmaz
24	*bōsmaz	Busen	German	7	b uː z ə n	buːzən
25	*bōsmaz	bosom	English	7	b ʊ z ə m	bʊzəm
26	*bōsmaz	boezem	Dutch	7	b uː z ə m	buːzəm
#
1030	*būran	*būran	Proto-Germanic	283	b uː r	buːran
1031	*būran	Bauer	German	283	b auə r	bauər
1032	*būran	bower	English	283	b aʊə r	baʊər
1033	*būran	boer	Dutch	283	b uː r	buːr
#
780	*dagaz	*dagaz	Proto-Germanic	214	d a g	dagaz
781	*dagaz	Tag	German	214	t aː k	taːk
782	*dagaz	day	English	214	d eɪ	deɪ
783	*dagaz	dag	Dutch	214	d ɑ x	dɑx
#
761	*daigaz	*daigaz	Proto-Germanic	209	d ai g	daigaz
762	*daigaz	Teig	German	209	t ai k	taik
763	*daigaz	dough	English	209	d əʊ	dəʊ
764	*daigaz	deeg	Dutch	209	d eː x	deːx
#
1082	*dailiz	*dailiz	Proto-Germanic	297	d ai l	dailiz
1083	*dailiz	Teil	German	297	t ai l	tail
1084	*dailiz	deal	English	297	d iː l	diːl
1085	*dailiz	deel	Dutch	297	d eː l	deːl
#
1181	*dalaz	*dalaz	Proto-Germanic	324	d a l	dalaz
1182	*dalaz	Tal	German	324	t aː l	taːl
1183	*dalaz	dale	English	324	d eɪ l	deɪl
1184	*dalaz	dal	Dutch	324	d ɑ l	dɑl
#
473	*dampaz	*dampaz	Proto-Germanic	130	d a m p	dampaz
474	*dampaz	Dampf	German	130	d a m p͡f	damp͡f
475	*dampaz	damp	Dutch	130	d ɑ m p	dɑmp
#
