# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	TOKENS	ALIGNMENT	COGID
545	KUE	mosquito	mɨne	m ɨ n e	m ɨ n e	48
546	MAI	mosquito	mɨte	m ɨ t e	m ɨ t e	48
547	SEK	mosquito	muʔte	m u ʔt e	m u ʔt e	48
548	SIO	mosquito	mɨte	m ɨ t e	m ɨ t e	48
549	TAN	mosquito	~biri	m ĩ r̃ ĩ	m ĩ r̃ ĩ	48
550	TUK	mosquito	~bɨte	m ɨ̃ t ẽ	m ɨ̃ t ẽ	48
551	TUY	mosquito	~bɨte	m ɨ̃ t ẽ	m ɨ̃ t ẽ	48
552	WAN	mosquito	~bɨte	m ɨ̃ t ẽ	m ɨ̃ t ẽ	48
553	*PT	mosquito	*mɨte	m ɨ t e	m ɨ t e	48
#
1235	BAS	mouth1	rice	r i c e	r i c e -	114
1236	DES	mouth1	disi	d i s i	d i s i -	114
1237	KAR	mouth1	rise	r i s e	r i s e -	114
1238	KUB	mouth1	hihe	h i h e	h i h e -	114
1239	KUE	mouth1	risepu	r i s e p u	r i s e p u	114
1240	TAN	mouth1	riho	r i h o	r i h o -	114
1241	TUK	mouth1	ɨʔse	ɨ ʔs e	ɨ ʔs e -	114
1242	TUY	mouth1	ɨse	ɨ s e	ɨ s e -	114
1243	WAN	mouth1	dɨse	d ɨ s e	d ɨ s e -	114
1244	YUP	mouth1	ditsi	d i ts i	d i ts i -	114
1245	*PT	mouth1	*tjʔɨseo	t jʔ ɨ s e o	tjʔ ɨ s e ( o - )	114
#
222	KOR	mouth2	jiʔobo	j i ʔ o b o	j !i ʔ !o !b o	21
223	MAI	mouth2	jo	j o	j !- - o	21
224	SEK	mouth2	jɨʔo	j ɨ ʔ o	j ɨ ʔ o	21
225	SIO	mouth2	jiʔobo	j i ʔ o b o	j !i ʔ o !b !o	21
226	*PT	mouth2	*jɨ-ʔo	j ɨ ʔ o	j ɨ ʔ o ( - - )	21
#
1424	BAS	mythical being	wãti	w ã t i	!w ã t !i	131
1425	DES	mythical being	wãti	w ã t i	!w ã t !i	131
1426	KAR	mythical being	wãti	w ã t i	!w ã t !i	131
1427	KOR	mythical being	vathi	v a th i	!v a th i	131
1428	KUB	mythical being	~at∫i	ã t∫ ĩ	ã t∫ ĩ	131
1429	MAI	mythical being	ãi	ã i	ã - i	131
1430	SEK	mythical being	wati	w a t i	w a t i	131
1431	SIO	mythical being	wati	w a t i	!w a t i	131
1432	TAN	mythical being	wãti	w ã t i	!w ã t !i	131
1433	TUK	mythical being	wãti	w ã t i	!w ã t !i	131
1434	WAN	mythical being	wãti	w ã t i	!w ã t !i	131
1435	*PT	mythical being	*wãtti	w ã t t i	w ã tt i	131
#
1411	BAS	name	~wabe	w̃ ã m ẽ	!w̃ ã m !ẽ	130
1412	DES	name	~wai	w̃ ã ĩ	!w̃ ã - ĩ	130
1413	KAR	name	~wabe	w̃ ã m ẽ	!w̃ ã m !ẽ	130
1414	KOR	name	mami	m a m i	!m a m i	130
1415	KUB	name	~abi	ã m ĩ	ã m ĩ	130
1416	MAI	name	mami	m a m i	!m a m i	130
1417	SEK	name	mami	m a m i	!m a m i	130
1418	SIO	name	mami	m a m i	!m a m i	130
1419	TAN	name	~wabe	w̃ ã m ẽ	!w̃ ã m !ẽ	130
1420	TUK	name	~wabe	w̃ ã m ẽ	!w̃ ã m !ẽ	130
1421	TUY	name	~wabe	w̃ ã m ẽ	w̃ ã m ẽ	130
1422	WAN	name	~waba	w̃ ã m ã	!w̃ ã m !ã	130
1423	*PT	name	*wãmi	w ã m i	w ã m i	130
#
1078	BAS	navel	~cobɨ	c õ m ɨ̃	c õ m ɨ̃	101
1079	DES	navel	~subu	s ũ m ũ	s ũ m ũ	101
1080	KAR	navel	~hobɨ	h õ m ɨ̃	h õ m ɨ̃	101
1081	KOR	navel	sũhũ	s ũ h ũ	s ũ h ũ	101
1082	KUB	navel	~hobɨ	h õ m ɨ̃	h õ m ɨ̃	101
1083	KUE	navel	tou	t o u	t o - u	101
1084	MAI	navel	sõhõ	s õ h õ	s õ h õ	101
1085	SEK	navel	sõhõ	s õ h õ	s õ h õ	101
1086	SIO	navel	t∫õhõ	t∫ õ h õ	t∫ õ h õ	101
1087	TAN	navel	~hubu	h ũ m ũ	h ũ m ũ	101
1088	TUK	navel	~subu	s ũ m ũ	s ũ m ũ	101
1089	TUY	navel	~subua	s ũ m ũ ã	s ũ m ũ ã	101
1090	WAN	navel	~sɨbɨka	s ɨ̃ m ɨ̃ k ã	s ɨ̃ m ɨ̃ k !ã	101
1091	YUP	navel	~t∫ubu	t∫ ũ m ũ	t∫ ũ m ũ	101
1092	*PT	navel	*t∫õpʔɨ	tʃ õ pʔ ɨ	t∫ õ pʔ ɨ ( - - )	101
#
13	BAS	non.3rd.animate.person	bɨ	b ɨ	b ɨ	2
14	DES	non.3rd.animate.person	bɨ	b ɨ	b ɨ	2
15	KUB	non.3rd.animate.person	wɨ	w ɨ	!w ɨ	2
16	SEK	non.3rd.animate.person	wɨ	w ɨ	w ɨ	2
17	SIO	non.3rd.animate.person	wɨ	w ɨ	!w ɨ	2
18	TUK	non.3rd.animate.person	pɨ	p ɨ	!p ɨ	2
19	*PT	non.3rd.animate.person	*-pʔɨ	pʔ ɨ	pʔ ɨ	2
#
77	BAS	nose	~ige	ĩ ŋ ẽ	ĩ ŋ ẽ	8
78	DES	nose	~iʔgi	ĩ ʔŋ ĩ	ĩ ʔŋ ĩ	8
79	KAR	nose	~ɨke	ɨ̃ k ẽ	ɨ̃ k ẽ	8
80	KOR	nose	ɨ̃khe	ɨ̃ kh e	ɨ̃ kh e	8
81	KUB	nose	ũeka	ũ e k a	ũ - e k !a	8
82	KUE	nose	kome	k o m e	k o m e	8
83	MAI	nose	ũkue	ũ k u e	ũ k u e	8
84	SEK	nose	õkwe	õ kw e	õ k w e	8
85	SIO	nose	ũkue	ũ k u e	ũ k u e	8
86	TAN	nose	~obe	õ m ẽ	õ m ẽ	8
87	TUK	nose	~eʔke	ẽ ʔk ẽ	ẽ ʔk ẽ	8
88	TUY	nose	~ekea	ẽ k ẽ ã	ẽ k ẽ ã	8
89	WAN	nose	~ke	k ẽ	k ẽ	8
90	YUP	nose	ɨgɨ	ɨ g ɨ	ɨ g ɨ	8
91	*PT	nose	*ɨ̃kwʔe	ɨ̃ kwʔ e	- ɨ̃ kwʔ - e ( - - )	8
#
931	BAS	paca	~cebe	c ẽ m ẽ	c ẽ m ẽ	86
932	DES	paca	~sebe	s ẽ m ẽ	s ẽ m ẽ	86
933	KAR	paca	~hebe	h ẽ m ẽ	h ẽ m ẽ	86
934	KOR	paca	seme	s e m e	s e m e	86
935	KUB	paca	~hebe	h ẽ m ẽ	h ẽ m ẽ	86
936	MAI	paca	seme	s e m e	s e m e	86
937	SEK	paca	seme	s e m e	s e m e	86
938	SIO	paca	seme	s e m e	s e m e	86
939	TAN	paca	~hebe	h ẽ m ẽ	h ẽ m ẽ	86
940	TUK	paca	~sebe	s ẽ m ẽ	s ẽ m ẽ	86
941	WAN	paca	~saba	s ã m ã	s ã m ã	86
942	*PT	paca	*seme	e m e	s e m e	86
#
1359	BAS	pacu fish	uhu	u h u	u h u	125
1360	DES	pacu fish	uhu	u h u	u h u	125
1361	KUE	pacu fish	hohu	h o h u	h o h u	125
1362	TUK	pacu fish	uhu	u h u	u h u	125
1363	*PT	pacu fish	*uhu	u h u	- u h u	125
#
894	BAS	palm-weevil	~hiko	h ĩ k õ	h ĩ k õ	82
895	DES	palm-weevil	~pigu	p ĩ ŋ ũ	p ĩ ŋ ũ	82
896	KOR	palm-weevil	hĩʔkho	h ĩ ʔkh o	h ĩ ʔkh o	82
897	KUB	palm-weevil	~piko	p ĩ k õ	p ĩ k õ	82
898	MAI	palm-weevil	hɨ̃ko	h ɨ̃ k o	h ɨ̃ k o	82
899	SEK	palm-weevil	hĩko	h ĩ k o	h ĩ k o	82
900	SIO	palm-weevil	hĩko	h ĩ k o	h ĩ k o	82
901	TAN	palm-weevil	~piko	p ĩ k õ	p ĩ k õ	82
902	TUK	palm-weevil	~piko	p ĩ k õ	p ĩ k õ	82
903	WAN	palm-weevil	~_phit∫o	_ ph i t∫ o	ph i t∫ o	82
904	*PT	palm-weevil	*pĩko	p ĩ k o	p ĩ k o	82
#
1461	BAS	parrot	weko	w e k o	w e k o	134
1462	DES	parrot	weko	w e k o	w e k !o	134
1463	KAR	parrot	weko	w e k o	w e k o	134
1464	KOR	parrot	weko	w e k o	w e !k o	134
1465	KUB	parrot	weko	w e k o	w e k o	134
1466	MAI	parrot	beko	b e k o	b e k o	134
1467	SEK	parrot	weko	w e k o	w e k o	134
1468	SIO	parrot	weko	w e k o	w e k o	134
1469	TUK	parrot	weko	w e k o	w e k o	134
1470	TUY	parrot	weko	w e k o	w e k o	134
1471	WAN	parrot	wat∫o	w a t∫ o	w a t∫ o	134
1472	*PT	parrot	*wekko	w e k k o	w e kk o	134
#
475	BAS	path	~baa	m a a	m a - a	43
476	DES	path	~baʔa	m ã ʔ ã	m ã ʔ ã	43
477	KAR	path	~baʔa	m ã ʔ ã	m ã ʔ !ã	43
478	KOR	path	maʔa	m a ʔ a	m a ʔ a	43
479	KUB	path	~ba	m ã	m ã - *-*	43
480	KUE	path	maa	m a a	m a - a	43
481	MAI	path	ma	m a	m a - *-*	43
482	SEK	path	maʔa	m a ʔ a	m a ʔ a	43
483	SIO	path	maʔa	m a ʔ a	m a ʔ a	43
484	TAN	path	~baʔa	m ã ʔ ã	m ã ʔ ã	43
485	TUK	path	~ba	m ã	m ã - *-*	43
486	TUY	path	~baa	m a a	m a - !a	43
487	WAN	path	~baʔa	m ã ʔ ã	m ã ʔ ã	43
488	*PT	path	*maʔa	m a ʔ a	m a ʔ a	43
#
1270	BAS	peccary	jece	j e c e	j e c e	117
1271	DES	peccary	jese	j e s e	j e s e	117
1272	KOR	peccary	sẽse	s ẽ s e	s ẽ s e	117
1273	KUB	peccary	~hehe	h ẽ h ẽ	h ẽ h ẽ	117
1274	KUE	peccary	jese	j e s e	j e s e	117
1275	MAI	peccary	sẽse	s ẽ s e	s ẽ s e	117
1276	SEK	peccary	sẽse	s ẽ s e	s ẽ s e	117
1277	SIO	peccary	sẽse	s ẽ s e	s ẽ s e	117
1278	TAN	peccary	~hehe	h ẽ h ẽ	h ẽ h ẽ	117
1279	TUK	peccary	jese	j e s e	j e s e	117
1280	TUY	peccary	jese	j e s e	j e s e	117
1281	WAN	peccary	jese	j e s e	j e s e	117
1282	YUP	peccary	tsetse	ts e ts e	ts e ts e	117
1283	*PT	peccary	*tjẽse	t j ẽ s e	tj ẽ s e	117
#
589	KAR	penis	~dudi	n ũ n ĩ	n ũ n ĩ	53
590	KUB	penis	~doe	n õ ẽ	n õ ẽ	53
591	KUE	penis	noni	n o n i	n o n i	53
592	MAI	penis	noa	n o a	n o a	53
593	TAN	penis	rũri	r ũ r i	r ũ r !i	53
594	TUK	penis	~dudi	n ũ n ĩ	n ũ n ĩ	53
596	WAN	penis	~dudɨ	n ũ n ɨ̃	n ũ n !ɨ̃	53
597	*PT	penis	*no-	n o	n o - ( - - )	53
#
682	BAS	people	~baca	m ã c ã	m ã c ã	61
683	KAR	people	~basa	m ã s ã	m ã s ã	61
684	KOR	people	pã+i	p ã + i	p ã - *-* i	61
685	KUB	people	~baha	m ã h ã	m ã h ã	61
686	KUE	people	matarɨ	m a t a r ɨ	m a t a r ɨ	61
687	MAI	people	~ba+i	m ã + ĩ	m ã - *-* ĩ	61
688	SEK	people	pã+i	p ã + i	p ã - *-* i	61
689	SIO	people	pʔã+i	pʔ ã i	pʔ ã - *-*	61
690	TAN	people	~baha	m ã h ã	m ã h ã	61
691	TUK	people	~basa	m ã s ã	m ã s ã	61
692	TUY	people	baso	b a s o	b a s o	61
693	WAN	people	~baha	m ã h ã	m ã h ã	61
694	YUP	people	~batsa	m ã ts ã	m ã ts ã	61
695	*PT	people	*pʔã-tjã	pʔ ã tj ã	pʔ ã tj ã ( - - )	61
#
639	BAS	plant	ote	o t e	o t e	57
640	DES	plant	ote	o t e	o t e	57
641	KAR	plant	ote	o t e	o t e	57
642	KOR	plant	othe	o th e	o th e	57
643	KUB	plant	ote	o t e	o t e	57
644	MAI	plant	ote	o t e	o t e	57
645	SEK	plant	ote	o t e	o t e	57
646	SIO	plant	ote	o t e	o t e	57
647	TAN	plant	hoto	h o t o	h o t o	57
648	TUK	plant	ote	o t e	o t e	57
649	TUY	plant	ote	o t e	o t e	57
650	WAN	plant	toa	t o a	t o a	57
651	*PT	plant	*otte	o t t e	- o tt e -	57
#
1284	DES	poison	~diba	n ĩ m ã	n ĩ m ã	118
1285	KAR	poison	~diba	n ĩ m ã	n ĩ m ã	118
1286	KOR	poison	jima	j i m a	j i m a	118
1287	KUB	poison	~hima	h ĩ m ã	h ĩ m ã	118
1288	SEK	poison	sʔĩma	sʔ ĩ m a	sʔ ĩ m a	118
1289	TUK	poison	~diba	n ĩ m ã	n ĩ m ã	118
1290	TUY	poison	~diba	n ĩ m ã	n ĩ m ã	118
1291	WAN	poison	~jiba	ɲ ĩ m ã	ɲ ĩ m ã	118
1292	*PT	poison	*tjima	t j i m a	tj i m a	118
#
978	BAS	pot	cotɨ	c o t ɨ	c o t ɨ	91
979	DES	pot	sodo	s o d o	s o d o	91
980	KAR	pot	hotɨ	h o t ɨ	h o t ɨ	91
981	KOR	pot	thotho	th o th o	th o th o	91
982	KUB	pot	hodo	h o d o	h o d o	91
983	MAI	pot	toto	t o t o	t o t o	91
984	SEK	pot	soto	s o t o	s o t o	91
985	SIO	pot	soto	s o t o	s o t o	91
986	TAN	pot	hoto	h o t o	h o t o	91
987	TUK	pot	sɨtɨ	s ɨ t ɨ	s ɨ t ɨ	91
988	TUY	pot	sotɨ	s o t ɨ	s o t ɨ	91
989	WAN	pot	situ	s i t u	s i t u	91
990	*PT	pot	*sot-	s o t	s o t -	91
#
105	BAS	pupunha	~ɨde	ɨ̃ n ẽ	ɨ̃ n ẽ	10
106	DES	pupunha	~ɨdi	ɨ̃ n ĩ	ɨ̃ n !ĩ	10
107	KAR	pupunha	~ɨde	ɨ̃ n ẽ	ɨ̃ n ẽ	10
108	KOR	pupunha	ɨne	ɨ n e	ɨ n e	10
109	KUB	pupunha	~ɨde	ɨ̃ n ẽ	ɨ̃ n ẽ	10
110	KUE	pupunha	ɨʔne	ɨ ʔn e	ɨ ʔn e	10
111	PIR	pupunha	~ɨde	ɨ̃ n ẽ	ɨ̃ n ẽ	10
112	SIO	pupunha	ɨne	ɨ n e	ɨ n e	10
113	TAN	pupunha	~ire	ĩ r̃ ẽ	ĩ r̃ ẽ	10
114	TUK	pupunha	~ɨde	ɨ̃ n ẽ	ɨ̃ n ẽ	10
115	WAN	pupunha	~ɨde	ɨ̃ n ẽ	ɨ̃ n ẽ	10
116	*PT	pupunha	*ɨne	ɨ n e	ɨ n e	10
#
991	BAS	red	~cua	c ũ ã	c ũ - !ã	92
992	KAR	red	hõa	h õ a	h õ - !a	92
993	KUB	red	~hua	h ũ ã	h ũ - !ã	92
994	TAN	red	~hua	h ũ ã	h ũ - ã	92
995	TUK	red	~soʔa	s õ ʔ ã	s õ ʔ !ã	92
996	TUY	red	~soa	s õ ã	s õ - !ã	92
997	WAN	red	~soʔa	s õ ʔ ã	s õ ʔ ã	92
998	*PT	red	*sõʔa	õ ʔ a	s õ ʔ a	92
#
1185	BAS	river	ria	r i a	r i a	110
1186	DES	river	dia	d i a	d i a	110
1187	KAR	river	ria	r i a	r i a	110
1188	KOR	river	jia	j i a	j i a	110
1189	KUB	river	hia	h i a	h i a	110
1190	KUE	river	la	l a	l - a	110
1191	MAI	river	jia	j i a	j i a	110
1192	SEK	river	sʔia	sʔ i a	sʔ i a	110
1193	SIO	river	sʔia	sʔ i a	sʔ i a	110
1194	TAN	river	ria	r i a	r i a	110
1195	TUK	river	dia	d i a	d i a	110
1196	TUY	river	dia	d i a	d i a	110
1197	WAN	river	dia	d i a	d i a	110
1198	*PT	river	*tjʔia	t jʔ i a	tjʔ i a	110
#
999	DES	root	~dugu	n ũ ŋ ũ	n ũ ŋ ũ	93
1000	KAR	root	~dɨʔko	n ɨ̃ ʔk õ	n ɨ̃ ʔk õ	93
1001	KUB	root	~dɨo	n ɨ̃ õ	n ɨ̃ - õ	93
1002	TAN	root	~riko	r̃ ĩ k õ	r̃ ĩ k õ	93
1003	TUK	root	~dɨʔko	n ɨ̃ ʔk õ	n ɨ̃ ʔk õ	93
1004	TUY	root	~dɨko	n ɨ̃ k õ	n ɨ̃ k õ	93
1005	WAN	root	~dɨʔko	n ɨ̃ ʔk õ	n ɨ̃ ʔk õ	93
1006	*PT	root	*tʔɨ̃kʔo	tʔ ɨ̃ k ʔ o	tʔ ɨ̃ kʔ o	93
#
943	BAS	rub	~cige	c ĩ ŋ ẽ	c ĩ ŋ ẽ	87
944	KAR	rub	~hike	h ĩ k ẽ	h ĩ k ẽ	87
945	KUB	rub	hĩhũ	h ĩ h ũ	h ĩ h ũ	87
946	TUK	rub	~saʔke	s ã ʔk ẽ	s ã ʔk ẽ	87
947	TUY	rub	tuu_~sake	t u u _ s ã k ẽ	t u u _ s ã k ẽ	87
948	WAN	rub	thu_saʔka	th u _ s a ʔk a	th u _ s a ʔk a	87
949	*PT	rub	*sĩkʔe	ĩ kʔ e	- - - - s ĩ kʔ e	87
#
382	BAS	sleep	~kadi	k ã n ĩ	k ã n ĩ	34
383	DES	sleep	~kadi	k ã n ĩ	k ã n ĩ	34
384	KAR	sleep	~kadi	k ã n ĩ	k ã n ĩ	34
385	KOR	sleep	kã+i	k ã + i	k ã	34
386	KUB	sleep	kã	k ã	k ã	34
387	MAI	sleep	kã+i	k ã + i	k ã	34
388	SEK	sleep	kã+i	k ã + i	k ã	34
389	SIO	sleep	kã+i	k ã + i	k ã	34
390	TAN	sleep	~kari	k ã r̃ ĩ	k ã r̃ !ĩ	34
391	TUK	sleep	~kadi	k ã n ĩ	k ã n ĩ	34
392	TUY	sleep	~kadi	k ã n ĩ	k ã n ĩ	34
393	WAN	sleep	~khadi	kh ã n ĩ	kh ã n !ĩ	34
394	*PT	sleep	*kã-	k ã	k ã - -	34
#
50	BAS	snake	~aja	ã ɲ ã	ã ɲ ã	6
51	DES	snake	~aja	ã ɲ ã	ã ɲ ã	6
52	KAR	snake	~aja	ã ɲ ã	ã ɲ ã	6
53	KOR	snake	ãjã	ã j ã	ã j ã	6
54	KUB	snake	~aja	ã ɲ ã	ã ɲ ã	6
55	KUE	snake	haja	h a j a	h a j a	6
56	MAI	snake	ãjã	ã j ã	ã j ã	6
57	PIR	snake	~aja	ã ɲ ã	ã ɲ ã	6
58	SEK	snake	ãjã	ã j ã	ã j ã	6
59	SIO	snake	ãjã	ã j ã	ã j ã	6
60	TAN	snake	~aja	ã ɲ ã	ã ɲ ã	6
61	TUK	snake	~aja	ã ɲ ã	ã ɲ ã	6
62	TUY	snake	~aja	ã ɲ ã	ã ɲ ã	6
63	WAN	snake	~aja	ã ɲ ã	ã ɲ ã	6
64	*PT	snake	*ãja	ã j a	- ã j a	6
#
661	BAS	spider	bɨhɨ	b ɨ h ɨ	b ɨ h ɨ	59
662	DES	spider	bɨpɨ	b ɨ p ɨ	b ɨ p ɨ	59
663	KAR	spider	bɨpɨ	b ɨ p ɨ	b ɨ p ɨ	59
664	KOR	spider	~hɨhɨ	h ɨ̃ h ɨ̃	h ɨ̃ h ɨ̃	59
665	KUB	spider	~pɨpɨ	p ɨ̃ p ɨ̃	!p ɨ̃ p ɨ̃	59
666	KUE	spider	hehe	h e h e	!h e h e	59
667	MAI	spider	~hɨhɨ	h ɨ̃ h ɨ̃	h ɨ̃ h ɨ̃	59
668	SIO	spider	~hɨhɨ	h ɨ̃ h ɨ̃	!h ɨ̃ h ɨ̃	59
669	TUK	spider	bɨpɨ	b ɨ p ɨ	b ɨ p ɨ	59
670	TUY	spider	bɨpɨ	b ɨ p ɨ	b ɨ p ɨ	59
671	WAN	spider	wɨpɨ	w ɨ p ɨ	!w ɨ p ɨ	59
672	YUP	spider	bɨbɨ	b ɨ b ɨ	b ɨ b ɨ	59
673	*PT	spider	*pʔɨpɨ	pʔ ɨ p ɨ	pʔ ɨ p ɨ	59
#
743	BAS	squeeze	buhe	b u h e	b u h !e	67
744	DES	squeeze	bipi	b i p i	b i p !i	67
745	KUB	squeeze	pipo	p i p o	!p i p o	67
746	TUK	squeeze	bipe	b i p e	b i p !e	67
748	WAN	squeeze	wipe	w i p e	!w i p !e	67
749	*PT	squeeze	*pʔipo	pʔ i p o	pʔ i p o	67
#
1532	BAS	stone	~gɨta	ŋ ɨ̃ t ã	ŋ ɨ̃ t !ã	141
1533	DES	stone	~ɨta	ɨ̃ t ã	ɨ̃ t !ã	141
1534	KAR	stone	~ɨta	ɨ̃ t ã	ɨ̃ t !ã	141
1535	KOR	stone	katha	k a th a	k a th a	141
1536	PIR	stone	~kɨta	k ɨ̃ t ã	k ɨ̃ t ã	141
1537	SEK	stone	kɨna	k ɨ n a	k ɨ n a	141
1538	SIO	stone	kʔata	kʔ a t a	kʔ a t a	141
1539	TAN	stone	ãta	ã t a	ã t a	141
1540	TUK	stone	~ɨta	ɨ̃ t ã	ɨ̃ t !ã	141
1541	TUY	stone	~ɨta	ɨ̃ t ã	ɨ̃ t ã	141
1542	YUP	stone	gɨlɨ	g ɨ l ɨ	g ɨ l ɨ	141
1543	*PT	stone	*kʔɨ̃ta	kʔ ɨ̃ t a	kʔ ɨ̃ t a	141
#
578	BAS	stop	~rɨgo	r̃ ɨ̃ ŋ õ	r̃ ɨ̃ ŋ õ	52
579	DES	stop	~dugu	n ũ ŋ ũ	n ũ ŋ ũ	52
580	KAR	stop	~dɨka	n ɨ̃ k ã	n ɨ̃ k ã	52
581	KOR	stop	nɨkha	n ɨ kh a	n ɨ kh a	52
582	KUB	stop	~dú	n ú	n ú -	52
583	MAI	stop	nɨka	n ɨ k a	n ɨ k a	52
584	SEK	stop	dɨ̃ka	d ɨ̃ k a	n ɨ̃ k a	52
585	SIO	stop	̃dɨka	n ɨ k a	n ɨ̃ k a	52
586	TUK	stop	̃dɨʔka	n ɨ̃ ʔk ã	n ɨ̃ ʔk ã	52
587	TUY	stop	~duku	n ũ k ũ	n ũ k ũ	52
588	*PT	stop	*nɨkʔ-	n ɨ kʔ	n ɨ kʔ -	52
#
1348	BAS	stump	tutu	t u t u	t u t !u	124
1349	DES	stump	tudu	t u d u	t u d !u	124
1350	KAR	stump	tutu	t u t u	t u t !u	124
1351	KOR	stump	thuu	th u u	th u !u	124
1352	KUB	stump	tutudi	t u t u d i	t u t !u !d !i	124
1353	MAI	stump	tu	t u	t u	124
1354	SEK	stump	tu	t u	t u	124
1355	SIO	stump	tu	t u	t u	124
1356	TUK	stump	tutu	t u t u	t u t !u	124
1357	WAN	stump	thutu	th u t u	th u t !u	124
1358	*PT	stump	*tu-	t u	t u ( - - - - )	124
#
813	BAS	swell	~bihi	m ĩ h ĩ	!m ĩ h ĩ	74
814	DES	swell	bihi	b i h i	b i h !i	74
815	MAI	swell	huhu	h u h u	h u h u	74
816	SIO	swell	huhu	h u h u	h u h u	74
817	TAN	swell	pĩpi	p ĩ p i	!p ĩ p !i	74
818	TUK	swell	bipi	b i p i	b i p !i	74
819	TUY	swell	bipi	b i p i	b i p i	74
820	WAN	swell	wipi	w i p i	!w i p !i	74
821	*PT	swell	*pʔupi	pʔ u p i	pʔ u p i	74
#
1449	BAS	tapir	wekɨ	w e k ɨ	w e k !ɨ	133
1450	DES	tapir	wekɨ	w e k ɨ	w e k !ɨ	133
1451	KOR	tapir	βekhɨ	β e kh ɨ	!β e kh ɨ	133
1452	KUB	tapir	wekɨ	w e k ɨ	w e k ɨ	133
1453	KUE	tapir	uekɨ	u e k ɨ	u e k ɨ	133
1454	MAI	tapir	bekɨ	b e k ɨ	b e k ɨ	133
1455	SEK	tapir	wẽkɨ	w ẽ k ɨ	w !ẽ k ɨ	133
1456	SIO	tapir	wekɨ	w e k ɨ	w e k ɨ	133
1457	TUK	tapir	wekɨ	w e k ɨ	w e k !ɨ	133
1458	TUY	tapir	wekɨ	w e k ɨ	w e k !ɨ	133
1459	WAN	tapir	wat∫ɨ	w a t∫ ɨ	w a t∫ !ɨ	133
1460	*PT	tapir	*wekkɨ	w e k k ɨ	w e kk ɨ	133
#
674	BAS	termite	butu	b u t u	b u t u	60
675	DES	termite	budu	b u d u	b u d u	60
676	KAR	termite	butu	b u t u	b u t u	60
677	KUE	termite	poru	p o r u	p o r u	60
678	TAN	termite	butu	b u t u	!b u t u	60
679	TUK	termite	butu	b u t u	b u t u	60
680	WAN	termite	butu	b u t u	!b u t u	60
681	*PT	termite	*pʔutu	pʔ u t u	pʔ u t u	60
#
912	BAS	thorn	hota	h o t a	h o t a	84
913	DES	thorn	poda	p o d a	p o d a	84
914	KAR	thorn	pota	p o t a	p o t !a	84
915	TAN	thorn	ɸota	ɸ o t a	ɸ o t a	84
916	TUK	thorn	pota	p o t a	p o t a	84
917	WAN	thorn	phota	ph o t a	ph o t a	84
918	*PT	thorn	*pota	p o t a	p o t a	84
#
117	BAS	three	idia	i d i a	i d i a	11
118	DES	three	ɨʔde	ɨ ʔd e	ɨ ʔd - e	11
119	KUE	three	itia	i t i a	i t i a	11
120	TUK	three	iʔtia	i ʔt i a	i ʔt i a	11
121	TUY	three	itia	i t i a	i t i a	11
122	WAN	three	tia	t i a	t i a	11
123	*PT	three	*ɨtʔia	ɨ tʔ i a	ɨ tʔ i a	11
#
1509	BAS	thunder	bɨho	b ɨ h o	b ɨ h o	139
1510	DES	thunder	bupu	b u p u	b u p u	139
1511	KUB	thunder	õpõ	õ p õ	õ p !õ	139
1512	KUE	thunder	mɨʔho	m ɨ ʔh o	m ɨ ʔh o	139
1513	MAI	thunder	mɨha	m ɨ h a	m ɨ h !a	139
1514	SEK	thunder	moho	m o h o	m o h o	139
1515	SIO	thunder	mɨho	m ɨ h o	m ɨ h o	139
1516	TAN	thunder	awĩpo	a w ĩ p o	a w ĩ !p !o	139
1517	TUK	thunder	bɨpo	b ɨ p o	b ɨ !p !o	139
1518	TUY	thunder	bɨpo	b ɨ p o	b ɨ !p !o	139
1519	WAN	thunder	wɨpo	w ɨ p o	w ɨ !p !o	139
1520	*PT	thunder	*wɨ̃po	w ɨ̃ p o	( - ) w ɨ̃ p o	139
#
426	BAS	to bite	~kuni	k ũ n ĩ	k ũ n ĩ	38
427	DES	to bite	~kudi	k ũ n ĩ	k ũ n ĩ	38
428	KOR	to bite	khũʔi	kh ũ ʔ i	kh ũ ʔ i	38
429	KUB	to bite	~ku	k ũ	k ũ	38
430	MAI	to bite	kũi	k ũ i	k ũ i	38
431	SEK	to bite	kõkɨ	k õ k ɨ	k õ k ɨ	38
432	SIO	to bite	kũʔi	k ũ ʔ i	k ũ ʔ i	38
433	TAN	to bite	kuʔku	k u ʔk u	k u ʔk !u	38
434	TUK	to bite	~kuʔdi	k ũ ʔn ĩ	k ũ ʔn ĩ	38
436	YUP	to bite	~kuri	k ũ r̃ ĩ	k ũ r̃ ĩ	38
437	*PT	to bite	*kũ	k ũ	k ũ - -	38
#
598	BAS	to cry	oti	o t i	o t !i	54
599	DES	to cry	oti	o t i	o !t !i	54
600	KAR	to cry	oti	o t i	o t !i	54
601	KOR	to cry	oi	o i	o i	54
602	KUB	to cry	o	o	o	54
604	MAI	to cry	oi	o i	o i	54
605	SEK	to cry	oi	o i	o i	54
606	SIO	to cry	oi	o i	o i	54
607	TUY	to cry	uti	u t i	u t !i	54
608	WAN	to cry	ti	t i	!t !i	54
609	YUP	to cry	oti	o t i	o t i	54
610	*PT	to cry	*o-	o	o - -	54
#
