# EDICTOR
@modified: 2015-08-26 9:38
#
ID	TOKENS	COGID	CONCEPT	IPA	ALIGNMENT	DOCULECT
295	k ɨ t a	27	excrement	kɨta	k ɨ t a	KOR
296	k ɨ d a	27	excrement	kɨda	k ɨ d a	KUB
297	ɨ t a	27	excrement	ɨta	- ɨ t a	KUE
298	ɨ̃ t a	27	excrement	ɨ̃ta	- ɨ̃ t a	MAI
299	k ɨ ʔt a	27	excrement	kɨʔta	k ɨ ʔt a	PIR
300	ɨ̃ t a	27	excrement	ɨ̃ta	- ɨ̃ t a	SEK
301	kʔ ɨ t a	27	excrement	kʔɨta	kʔ ɨ t a	SIO
302	i t a	27	excrement	ita	- i t a	TAN
303	ɨ ʔt a	27	excrement	ɨʔta	- ɨ ʔt a	TUK
304	k ɨ̃ n ã	27	excrement	~kɨda	k ɨ̃ n ã	TUY
305	t ã	27	excrement	~ta	- - t ã	WAN
306	kʔ ɨ tʔ a	27	excrement	*kʔɨtʔa	kʔ ɨ tʔ a	*PT
#
307	g u u	28	tortoise	guu	g u - u ( - - )	BAS
308	g u i	28	tortoise	gui	g u - i ( - - )	DES
309	u u	28	tortoise	uu	- u - u ( - - )	KAR
310	k o ɨ	28	tortoise	koɨ	k o - ɨ ( - - )	KOR
311	k ũ ɨ̃	28	tortoise	~kuɨ	k ũ - ɨ̃ ( - - )	KUB
312	k a ɨ	28	tortoise	kaɨ	k a - ɨ ( - - )	KUE
313	k o u	28	tortoise	kou	k o - u ( - - )	SEK
314	kʔ o ɨ	28	tortoise	kʔoɨ	kʔ o - ɨ ( - - )	SIO
315	o ʔ i	28	tortoise	oʔi	- o ʔ i ( - - )	TAN
316	u h u d i	28	tortoise	uhudi	- u h u ( d i )	TUK
317	k u u	28	tortoise	kuu	k u - u ( - - )	TUY
318	k u	28	tortoise	ku	k u - - ( - - )	WAN
319	kʔ o ɨ	28	tortoise	*kʔoɨ	kʔ o - ɨ ( - - )	*PT
#
320	ŋ õ n ẽ	29	urinate	~gode	ŋ õ n ẽ	BAS
321	ŋ õ n ẽ	29	urinate	~gode	ŋ õ n ẽ	DES
322	õ n ẽ	29	urinate	~ode	- õ n ẽ	KAR
323	õ n e	29	urinate	õne	- õ n e	KOR
324	k õ n ẽ	29	urinate	~kode	k õ n ẽ	KUB
325	g o n e	29	urinate	gone	g o n e	MAI
326	k õ n e	29	urinate	kõne	k õ n e	SEK
327	kʔ õ n e	29	urinate	kʔõne	kʔ õ n e	SIO
328	õ ʔn ẽ	29	urinate	~oʔde	- õ ʔn ẽ	TUK
329	k õ n ẽ	29	urinate	~kode	k õ n ẽ	TUY
330	kh ũ n ũ	29	urinate	~khudu	kh ũ n ũ	WAN
331	kʔ o n e	29	urinate	*kʔone	kʔ o n e	*PT
#
332	g o h e	30	hole	gohe	g o h e	BAS
333	g o b e	30	hole	gobe	g o b e	DES
334	o p e	30	hole	ope	- o p e	KAR
335	k o h e	30	hole	kohe	k o h e	KOR
336	k o b e	30	hole	kobe	k o b e	KUB
337	g o h e	30	hole	gohe	g o h e	KUE
338	g o h e	30	hole	gohe	g o h e	MAI
339	k o h e	30	hole	kohe	k o h e	SEK
340	kʔ o h e	30	hole	kʔohe	kʔ o h e	SIO
341	k o p e	30	hole	kope	k o p e	TAN
342	k o p e	30	hole	kope	k o p e	TUK
343	k o p e	30	hole	kope	k o p e	TUY
344	k o p e	30	hole	kope	k o p e	WAN
345	kʔ o p e	30	hole	*kʔope	kʔ o p e	*PT
#
346	g u h i	31	tooth	guhi	g u h i ( - - - - - )	BAS
347	o p i	31	tooth	opi	- o p i ( - - - - - )	KAR
348	kh õ h ĩ	31	tooth	~khohi	kh õ h ĩ ( - - - - - )	KOR
349	k õ p ĩ	31	tooth	~kopi	k õ p ĩ ( - - - - - )	KUB
350	k o h i	31	tooth	kohi	k o h i ( - - - - - )	KUE
351	g ũ h i	31	tooth	gũhi	g ũ h i ( - - - - - )	MAI
352	k õ ʔh ĩ	31	tooth	~koʔhi	k õ ʔh ĩ ( - - - - - )	SEK
353	kʔ ũ h ĩ	31	tooth	~kʔuhi	kʔ ũ h ĩ ( - - - - - )	SIO
354	o p i	31	tooth	opi	- o p i ( - - - - - )	TAN
355	u p i	31	tooth	upi	- u p i ( - - - - - )	TUK
356	u p i	31	tooth	upi	- u p i ( - - - - - )	TUY
357	p i d i a k a	31	tooth	pidiaka	- - p i ( d i a k a )	WAN
358	kʔ õ p i	31	tooth	*kʔõpi	kʔ õ p i ( - - - - - )	*PT
#
359	ŋ õ ã	32	bone	~goa	ŋ õ - ã	BAS
360	ŋ õ ã	32	bone	~goa	ŋ õ - ã	DES
361	õ ʔ ã	32	bone	~oʔa	- õ ʔ ã	KAR
362	k ũ ã	32	bone	~kua	k ũ - ã	KUB
363	k o a	32	bone	koa	k o - a	KUE
364	kʔ õ ʔ a	32	bone	kʔõʔa	kʔ õ ʔ a	SIO
365	ũ ʔ ã	32	bone	~uʔa	- ũ ʔ ã	TAN
366	õ ʔ ã	32	bone	~oʔa	- õ ʔ ã	TUK
367	k õ ã	32	bone	~koa	k õ - ã	TUY
368	kh õ ʔ ã	32	bone	~khoʔa	kh õ ʔ ã	WAN
369	kʔ õ ʔ ã	32	bone	*kʔoʔa	kʔ õ ʔ ã	*PT
#
370	g o d o	33	flower	godo	- - g o - - ( d o )	BAS
371	g o	33	flower	go	- - g o - - ( - - )	DES
372	k o r o	33	flower	koro	- - k o - - ( r o )	KOR
373	k o w ɨ	33	flower	kowɨ	- - k o w ɨ ( - - )	KUB
374	t e k o	33	flower	teko	t e k o - - ( - - )	KUE
375	h o d o	33	flower	hodo	- - h o - - ( d o )	SEK
376	k o d o	33	flower	kodo	- - k o - - ( d o )	SIO
377	õ ʔ õ	33	flower	~oʔo	- - - õ ʔ õ ( - - )	TAN
378	o ʔ o	33	flower	oʔo	- - - o ʔ o ( - - )	TUK
379	k o o	33	flower	koo	- - k o - o ( - - )	TUY
380	k o ʔ o	33	flower	koʔo	- - k o ʔ o ( - - )	WAN
381	kʔ o ʔ o	33	flower	*kʔoʔo	- - kʔ o ʔ o ( - - )	*PT
#
382	k ã n ĩ	34	sleep	~kadi	k ã n ĩ	BAS
383	k ã n ĩ	34	sleep	~kadi	k ã n ĩ	DES
384	k ã n ĩ	34	sleep	~kadi	k ã n ĩ	KAR
385	k ã + i	34	sleep	kã+i	k ã - -	KOR
386	k ã	34	sleep	kã	k ã - -	KUB
387	k ã + i	34	sleep	kã+i	k ã - -	MAI
388	k ã + i	34	sleep	kã+i	k ã - -	SEK
389	k ã + i	34	sleep	kã+i	k ã - -	SIO
