# EDICTOR
@modified: 2015-08-26 9:38
#
ID	TOKENS	COGID	CONCEPT	IPA	ALIGNMENT	DOCULECT
1222	d i p u	113	head	dipu	d i p u	DES
1223	r ɨ p o	113	head	rɨpo	r ɨ p o	KAR
1224	s ĩ h õ	113	head	~siho	s ĩ h õ	KOR
1225	h i p o	113	head	hipo	h i p o	KUB
1226	t∫ i o	113	head	t∫io	t∫ i - o	MAI
1227	s ĩ õ	113	head	~sio	s ĩ - õ	SEK
1228	sʔ ĩ h õ	113	head	~sʔiho	sʔ ĩ h õ	SIO
1229	r u p u	113	head	rupu	r u p u	TAN
1230	d ɨ p o	113	head	dɨpo	d ɨ p o	TUK
1231	d u p u	113	head	dupu	d u p u	TUY
1232	d a p u	113	head	dapu	d a p u	WAN
1233	d ɨ p ɨ	113	head	dɨpɨ	d ɨ p ɨ	YUP
1234	t jʔ ɨ p o	113	head	*tjʔɨpo	tjʔ ɨ p o	*PT
#
1235	r i c e	114	mouth1	rice	r i c e ( - - )	BAS
1236	d i s i	114	mouth1	disi	d i s i ( - - )	DES
1237	r i s e	114	mouth1	rise	r i s e ( - - )	KAR
1238	h i h e	114	mouth1	hihe	h i h e ( - - )	KUB
1239	r i s e p u	114	mouth1	risepu	r i s e ( p u )	KUE
1240	r i h o	114	mouth1	riho	r i h o ( - - )	TAN
1241	ɨ ʔs e	114	mouth1	ɨʔse	- ɨ ʔs e ( - - )	TUK
1242	ɨ s e	114	mouth1	ɨse	- ɨ s e ( - - )	TUY
1243	d ɨ s e	114	mouth1	dɨse	d ɨ s e ( - - )	WAN
1244	d i ts i	114	mouth1	ditsi	d i ts i ( - - )	YUP
1245	t jʔ ɨ s e o	114	mouth1	*tjʔɨseo	tjʔ ɨ s e ( o - )	*PT
#
1246	j o a	115	distant	joa	j o - a	BAS
1247	j o a	115	distant	joa	j o - a	DES
1248	j o a	115	distant	joa	j o - a	KAR
1249	h o a	115	distant	hoa	h o - a	KUB
1250	j o e	115	distant	joe	j o - e	KUE
1251	j ã m a	115	distant	doa	d o - a	MAI
1252	s o ʔ o	115	distant	soʔo	s o ʔ o	SEK
1253	sʔ o a	115	distant	sʔoa	sʔ o - a	SIO
1254	j o e	115	distant	joe	j o - e	TAN
1255	j o a	115	distant	joa	j o - a	TUK
1256	j o a	115	distant	joa	j o - a	TUY
1257	j o a	115	distant	joa	j o - a	WAN
1258	t jʔ o a	115	distant	*tjʔoa	tjʔ o - a	*PT
#
1259	ɲ ã s ã	116	king-fisher	~jasa	ɲ ã s ã	BAS
1260	s ã n ã	116	king-fisher	~sada	s ã n ã	DES
1261	ɲ ã s ã	116	king-fisher	~jasa	ɲ ã s ã	KAR
1262	s ã sʔ a	116	king-fisher	sãsʔa	s ã ʔs a	KOR
1263	h ã h ã	116	king-fisher	~haha	h ã h ã	KUB
1264	sʔ ã ʔ s a	116	king-fisher	sʔãʔsa	sʔ ã ʔs a	SEK
1265	h ã h ã	116	king-fisher	~haha	h ã h ã	TAN
1266	s ã n ã	116	king-fisher	~sada	s ã n ã	TUK
1267	s ã n ã	116	king-fisher	~sada	s ã n ã	WAN
1268	s ã s ã	116	king-fisher	~sasa	s ã s ã	YUP
1269	t j ã s a	116	king-fisher	*tjãsa	tj ã s a	*PT
#
1270	j e c e	117	peccary	jece	j e c e	BAS
1271	j e s e	117	peccary	jese	j e s e	DES
1272	s ẽ s e	117	peccary	sẽse	s ẽ s e	KOR
1273	h ẽ h ẽ	117	peccary	~hehe	h ẽ h ẽ	KUB
1274	j e s e	117	peccary	jese	j e s e	KUE
1275	s ẽ s e	117	peccary	sẽse	s ẽ s e	MAI
1276	s ẽ s e	117	peccary	sẽse	s ẽ s e	SEK
1277	s ẽ s e	117	peccary	sẽse	s ẽ s e	SIO
1278	h ẽ h ẽ	117	peccary	~hehe	h ẽ h ẽ	TAN
1279	j e s e	117	peccary	jese	j e s e	TUK
1280	j e s e	117	peccary	jese	j e s e	TUY
1281	j e s e	117	peccary	jese	j e s e	WAN
1282	ts e ts e	117	peccary	tsetse	ts e ts e	YUP
1283	t j ẽ s e	117	peccary	*tjẽse	tj ẽ s e	*PT
#
1284	n ĩ m ã	118	poison	~diba	n ĩ m ã	DES
1285	n ĩ m ã	118	poison	~diba	n ĩ m ã	KAR
1286	j i m a	118	poison	jima	j i m a	KOR
1287	h ĩ m ã	118	poison	~hima	h ĩ m ã	KUB
1288	sʔ ĩ m a	118	poison	sʔĩma	sʔ ĩ m a	SEK
1289	n ĩ m ã	118	poison	~diba	n ĩ m ã	TUK
1290	n ĩ m ã	118	poison	~diba	n ĩ m ã	TUY
1291	ɲ ĩ m ã	118	poison	~jiba	ɲ ĩ m ã	WAN
1292	t j i m a	118	poison	*tjima	tj i m a	*PT
#
1293	c ɨ̃ m ẽ	119	green	~cɨbe	c ɨ̃ m ẽ ( - - )	BAS
1294	h ɨ̃ m ẽ	119	green	~hɨbe	h ɨ̃ m ẽ ( - - )	KAR
1295	h ɨ̃ m ẽ	119	green	~hɨbe	h ɨ̃ m ẽ ( - - )	KUB
1296	t ɨ m ɨ	119	green	tɨmɨ	t ɨ m ɨ ( - - )	KUE
1297	s ɨ h o	119	green	sɨho	s ɨ h o ( - - )	SIO
1298	h ĩ ʔb ĩ	119	green	~hiʔbi	h ĩ ʔb ĩ ( - - )	TAN
1299	s ɨ ʔm e	119	green	sɨʔme	s ɨ ʔm e ( - - )	TUK
1300	s ɨ̃ m ẽ r̃ ẽ	119	green	~sɨbere	s ɨ̃ m ẽ ( r̃ ẽ )	TUY
1301	ts ɨ m ɨ	119	green	tsɨmɨ	ts ɨ m ɨ ( - - )	YUP
1302	tj ɨ̃ pʔ e	119	green	*tjɨ̃pʔe	tj ɨ̃ pʔ e ( - - )	*PT
#
1303	ɨ c a	120	cold	ɨca	- ɨ c a ( - )	BAS
1304	j ɨ s a	120	cold	jɨsa	j ɨ s a ( - )	DES
1305	s ɨ s ɨ	120	cold	sɨsɨ	s ɨ s ɨ ( - )	KOR
1306	h ɨ h ɨ	120	cold	hɨhɨ	h ɨ h ɨ ( - )	KUB
1307	j ɨ s ɨ a	120	cold	jɨsɨa	j ɨ s ɨ ( a )	KUE
1308	s ɨ s ɨ	120	cold	sɨsɨ	s ɨ s ɨ ( - )	MAI
1309	s ɨ s ɨ	120	cold	sɨsɨ	s ɨ s ɨ ( - )	SEK
1310	s ɨ s ɨ	120	cold	sɨsɨ	s ɨ s ɨ ( - )	SIO
1311	h i ʔh i a	120	cold	hiʔhia	h i ʔh i ( a )	TAN
1312	j ɨ s ɨ a	120	cold	jɨsɨa	j ɨ s ɨ ( a )	TUK
1313	j ɨ s ɨ a	120	cold	jɨsɨa	j ɨ s ɨ ( a )	TUY
1314	j ɨ s ɨ	120	cold	jɨsɨ	j ɨ s ɨ ( - )	WAN
1315	ts e s ɨ	120	cold	tsesɨ	ts e s ɨ ( - )	YUP
1316	tj ɨ s i	120	cold	*tjɨsi	tj ɨ s i ( - )	*PT
#
1317	j u k ɨ	121	tree	jukɨ	j u k ɨ ( - - )	BAS
1318	j u k ɨ	121	tree	jukɨ	j u k ɨ ( - - )	DES
1319	j u k ɨ	121	tree	jukɨ	j u k ɨ ( - - )	KAR
1320	s ũ k i j̃ ɨ	121	tree	sũkij̃ɨ	s ũ k i ( j̃ ɨ )	KOR
1321	h o k ɨ	121	tree	hokɨ	h o k ɨ ( - - )	KUB
1322	t o k ɨ	121	tree	tokɨ	t o k ɨ ( - - )	KUE
1323	s ũ k i j̃ i	121	tree	sũkij̃i	s ũ k i ( j̃ i )	MAI
1324	s õ k ɨ	121	tree	sõkɨ	s õ k ɨ ( - - )	SEK
1325	s ũ k i	121	tree	sũki	s ũ k i ( - - )	SIO
1326	h ũ k ĩ	121	tree	~huki	h ũ k ĩ ( - - )	TAN
1327	j u k ɨ	121	tree	jukɨ	j u k ɨ ( - - )	TUK
1328	j u k ɨ	121	tree	jukɨ	j u k ɨ ( - - )	TUY
1329	j u k ɨ	121	tree	jukɨ	j u k ɨ ( - - )	WAN
1330	t j ũ k k ɨ	121	tree	*tjũkkɨ	tj ũ kk ɨ ( - - )	*PT
#
1331	u s i	122	insect sp.	usi	- u s i ( - - )	BAS
1332	s ũ s i	122	insect sp.	sũsi	s ũ s i ( - - )	KOR
1333	h u h i	122	insect sp.	huhi	h u h i ( - - )	KUB
1334	t o s i	122	insect sp.	tosi	t o s i ( - - )	KUE
1335	s u s i	122	insect sp.	susi	s u s i ( - - )	SIO
1336	j ĩ	122	insect sp.	jĩ	j ĩ - - ( - - )	WAN
1337	ts u ts i g a	122	insect sp.	tsutsiga	ts u ts i ( g a )	YUP
1338	tj u s i	122	insect sp.	*tjusi	tj u s i ( - - )	*PT
#
1339	t o a	123	fruit sp.	toa	t o a	BAS
1340	th o a	123	fruit sp.	thoa	th o a	KOR
1341	t o a	123	fruit sp.	toa	t o a	KUB
1342	t o a	123	fruit sp.	toa	t o a	MAI
1343	t o a	123	fruit sp.	toa	t o a	SEK
1344	t o a	123	fruit sp.	toa	t o a	SIO
1345	t o a	123	fruit sp.	toa	t o a	TUK
1346	th o a	123	fruit sp.	thoa	th o a	WAN
1347	t o a	123	fruit sp.	*toa	t o a	*PT
#
1348	t u t u	124	stump	tutu	t u ( t u - - )	BAS
1349	t u d u	124	stump	tudu	t u ( d u - - )	DES
1350	t u t u	124	stump	tutu	t u ( t u - - )	KAR
1351	th u u	124	stump	thuu	th u ( - u - - )	KOR
1352	t u t u d i	124	stump	tutudi	t u ( t u d i )	KUB
1353	t u	124	stump	tu	t u ( - - - - )	MAI
1354	t u	124	stump	tu	t u ( - - - - )	SEK
1355	t u	124	stump	tu	t u ( - - - - )	SIO
1356	t u t u	124	stump	tutu	t u ( t u - - )	TUK
1357	th u t u	124	stump	thutu	th u ( t u - - )	WAN
1358	t u	124	stump	*tu-	t u ( - - - - )	*PT
#
1359	u h u	125	pacu fish	uhu	- u h u	BAS
1360	u h u	125	pacu fish	uhu	- u h u	DES
1361	h o h u	125	pacu fish	hohu	h o h u	KUE
1362	u h u	125	pacu fish	uhu	- u h u	TUK
1363	u h u	125	pacu fish	*uhu	- u h u	*PT
#
1364	õ h ẽ	126	breast	~ohe	- õ h ẽ ( - - )	BAS
1365	ã p ĩ	126	breast	~api	- ã p ĩ ( - - )	DES
1366	ũ p ẽ	126	breast	~upe	- ũ p ẽ ( - - )	KAR
1367	o h e	126	breast	ohe	- o h e ( - - )	KOR
1368	o p e	126	breast	ope	- o p e ( - - )	KUB
1369	h u h e r i	126	breast	huheri	h u h e ( r i )	KUE
1370	o h e	126	breast	ohe	- o h e ( - - )	MAI
1371	o h e	126	breast	ohe	- o h e ( - - )	SEK
1372	o h e	126	breast	ohe	- o h e ( - - )	SIO
1373	ũ ʔp e	126	breast	ũʔpe	- ũ ʔp e ( - - )	TAN
1374	õ p ẽ	126	breast	~ope	- õ p ẽ ( - - )	TUK
1375	õ p ẽ ã	126	breast	~opea	- õ p ẽ ( - ã )	TUY
1376	p ẽ n õ	126	breast	~pedo	- - p ẽ ( n õ )	WAN
1377	u p e	126	breast	*upe	- u p e ( - - )	*PT
#
1378	u t i	127	wasp	uti	- u t i -	BAS
1379	u t i	127	wasp	uti	- u t i -	DES
1380	u t i	127	wasp	uti	- u t i -	KAR
1381	u th i	127	wasp	uthi	- u th i -	KOR
1382	u t∫ i	127	wasp	ut∫i	- u t∫ i -	KUB
1383	h u t i	127	wasp	huti	h u t i -	KUE
1384	u t i	127	wasp	uti	- u t i -	MAI
1385	u t i	127	wasp	uti	- u t i -	SEK
1386	u t i	127	wasp	uti	- u t i -	SIO
1387	u t i	127	wasp	uti	- u t i -	TAN
1388	u t i	127	wasp	uti	- u t i -	TUK
1389	u t i a	127	wasp	utia	- u t i a	TUY
1390	t i	127	wasp	ti	- - t i -	WAN
1391	u t t i	127	wasp	*utti	- u tt i -	*PT
#
1392	w a j a	128	fish with a net	waja	w a j a	BAS
1393	w a j a	128	fish with a net	waja	w a j a	DES
1394	w a j o	128	fish with a net	wajo	w a j o	KOR
1395	b e j o	128	fish with a net	bejo	b e j o	MAI
1396	w a ʔs a	128	fish with a net	waʔsa	w a ʔs a	TUK
1397	w a ʔs a	128	fish with a net	waʔsa	w a ʔs a	WAN
1398	w a j a	128	fish with a net	*waja	w a j a	*PT
#
1399	w a j u	129	cheek	waju	w a j u ( - - )	BAS
1400	w a ʔj u	129	cheek	waʔju	w a ʔj u ( - - )	DES
1401	w a s o	129	cheek	waso	w a s o ( - - )	KAR
1402	w a j o	129	cheek	wajo	w a j o ( - - )	KOR
1403	w ɨ o	129	cheek	wɨo	w ɨ - o ( - - )	KUB
1404	b a j o	129	cheek	bajo	b a j o ( - - )	MAI
1405	w a j o	129	cheek	wajo	w a j o ( - - )	SEK
1406	w a j o	129	cheek	wajo	w a j o ( - - )	SIO
1407	w a ʔs u	129	cheek	waʔsu	w a ʔs u ( - - )	TUK
1408	w a s o p u	129	cheek	wasopu	w a s o ( p u )	TUY
1409	w a ʔs u	129	cheek	waʔsu	w a ʔs u ( - - )	WAN
1410	w a j o	129	cheek	*wajo	w a j o ( - - )	*PT
#
1411	w̃ ã m ẽ	130	name	~wabe	w̃ ã m ẽ	BAS
1412	w̃ ã ĩ	130	name	~wai	w̃ ã - ĩ	DES
1413	w̃ ã m ẽ	130	name	~wabe	w̃ ã m ẽ	KAR
1414	m a m i	130	name	mami	m a m i	KOR
1415	ã m ĩ	130	name	~abi	- ã m ĩ	KUB
1416	m a m i	130	name	mami	m a m i	MAI
1417	m a m i	130	name	mami	m a m i	SEK
1418	m a m i	130	name	mami	m a m i	SIO
1419	w̃ ã m ẽ	130	name	~wabe	w̃ ã m ẽ	TAN
1420	w̃ ã m ẽ	130	name	~wabe	w̃ ã m ẽ	TUK
1421	w̃ ã m ẽ	130	name	~wabe	w̃ ã m ẽ	TUY
1422	w̃ ã m ã	130	name	~waba	w̃ ã m ã	WAN
1423	w ã m i	130	name	*wãmi	w ã m i	*PT
#
1424	w ã t i	131	mythical being	wãti	w ã t i	BAS
1425	w ã t i	131	mythical being	wãti	w ã t i	DES
1426	w ã t i	131	mythical being	wãti	w ã t i	KAR
1427	v a th i	131	mythical being	vathi	v a th i	KOR
1428	ã t∫ ĩ	131	mythical being	~at∫i	- ã t∫ ĩ	KUB
1429	ã i	131	mythical being	ãi	- ã - i	MAI
1430	w a t i	131	mythical being	wati	w a t i	SEK
1431	w a t i	131	mythical being	wati	w a t i	SIO
1432	w ã t i	131	mythical being	wãti	w ã t i	TAN
1433	w ã t i	131	mythical being	wãti	w ã t i	TUK
1434	w ã t i	131	mythical being	wãti	w ã t i	WAN
1435	w ã t t i	131	mythical being	*wãtti	w ã tt i	*PT
#
1436	w a i	132	fish	wai	w a - i	BAS
1437	w a ʔ i	132	fish	waʔi	w a ʔ i	DES
1438	β a ʔ i	132	fish	βaʔi	β a ʔ i	KOR
1439	w á w i	132	fish	wáwi	w á w i	KUB
1440	u a i	132	fish	uai	u a - i	KUE
1441	b a i	132	fish	bai	b a - i	MAI
1442	w a ʔ i	132	fish	waʔi	w a ʔ i	SEK
1443	w a ʔ i	132	fish	waʔi	w a ʔ i	SIO
1444	w a ʔ i	132	fish	waʔi	w a ʔ i	TAN
1445	w a ʔ i	132	fish	waʔi	w a ʔ i	TUK
1446	w a i	132	fish	wai	w a - i	TUY
1447	w a ʔ i	132	fish	waʔi	w a ʔ i	WAN
1448	w a ʔ i	132	fish	*waʔi	w a ʔ i	*PT
#
1449	w e k ɨ	133	tapir	wekɨ	w e k ɨ	BAS
1450	w e k ɨ	133	tapir	wekɨ	w e k ɨ	DES
1451	β e kh ɨ	133	tapir	βekhɨ	β e kh ɨ	KOR
1452	w e k ɨ	133	tapir	wekɨ	w e k ɨ	KUB
1453	u e k ɨ	133	tapir	uekɨ	u e k ɨ	KUE
1454	b e k ɨ	133	tapir	bekɨ	b e k ɨ	MAI
1455	w ẽ k ɨ	133	tapir	wẽkɨ	w ẽ k ɨ	SEK
1456	w e k ɨ	133	tapir	wekɨ	w e k ɨ	SIO
1457	w e k ɨ	133	tapir	wekɨ	w e k ɨ	TUK
1458	w e k ɨ	133	tapir	wekɨ	w e k ɨ	TUY
1459	w a t∫ ɨ	133	tapir	wat∫ɨ	w a t∫ ɨ	WAN
1460	w e k k ɨ	133	tapir	*wekkɨ	w e kk ɨ	*PT
#
1461	w e k o	134	parrot	weko	w e k o	BAS
1462	w e k o	134	parrot	weko	w e k o	DES
1463	w e k o	134	parrot	weko	w e k o	KAR
1464	w e k o	134	parrot	weko	w e k o	KOR
1465	w e k o	134	parrot	weko	w e k o	KUB
1466	b e k o	134	parrot	beko	b e k o	MAI
1467	w e k o	134	parrot	weko	w e k o	SEK
1468	w e k o	134	parrot	weko	w e k o	SIO
1469	w e k o	134	parrot	weko	w e k o	TUK
1470	w e k o	134	parrot	weko	w e k o	TUY
1471	w a t∫ o	134	parrot	wat∫o	w a t∫ o	WAN
1472	w e k k o	134	parrot	*wekko	w e kk o	*PT
#
1473	w e c e	135	garden	wece	w e c e	BAS
1474	w e s e	135	garden	wese	w e s e	DES
1475	w e ʔs e	135	garden	weʔse	w e ʔs e	KOR
1476	b e s e	135	garden	bese	b e s e	MAI
1477	β e ʔs e	135	garden	βeʔse	β e ʔs e	SEK
1478	w e s e	135	garden	wese	w e s e	TUK
1479	w e s e	135	garden	wese	w e s e	TUY
1480	w e s e	135	garden	wese	w e s e	WAN
1481	w e s e	135	garden	*wese	w e s e	*PT
#
1482	w e i	136	black_ink	wei	w e - i	BAS
1484	w e i	136	black_ink	wei	w e - i	KUB
1485	w e ʔ e	136	black_ink	*weʔe	w e ʔ e	*PT
#
1483	w e ʔ e	136	jenipapo	weʔe	w e ʔ e	KOR
#
1486	m ĩ n õ	137	wind	~bido	m ĩ n õ	BAS
1487	m ĩ n ũ	137	wind	~bidu	m ĩ n ũ	DES
1488	w̃ ĩ n õ	137	wind	~wido	w̃ ĩ n õ	KAR
1489	w̃ ĩ r̃ õ	137	wind	~wiro	w̃ ĩ r̃ õ	TAN
1490	w̃ ĩ n õ	137	wind	~wido	w̃ ĩ n õ	TUK
1491	w̃ ĩ n õ	137	wind	~wido	w̃ ĩ n õ	TUY
1492	w̃ ĩ n õ	137	wind	~wido	w̃ ĩ n õ	WAN
1493	u í n e	137	wind	uíne	u í n e	YUP
1494	w ĩ n o	137	wind	*wĩno	w ĩ n o	*PT
#
1495	w i	138	house	wi	w i - - ( - - )	BAS
1496	w i ʔ i	138	house	wiʔi	w i ʔ i ( - - )	DES
1497	w i i	138	house	wii	w i - i ( - - )	KAR
1498	β ɨ ʔ e	138	house	βɨʔe	β ɨ ʔ e ( - - )	KOR
1499	w ɨ e	138	house	wɨe	w ɨ - e ( - - )	KUB
1500	w ɨ r i	138	house	wɨri	w ɨ - - ( r i )	KUE
1501	u e	138	house	ue	- u - e ( - - )	MAI
1502	w ɨ ʔ e	138	house	wɨʔe	w ɨ ʔ e ( - - )	SEK
1503	w ɨ ʔ e	138	house	wɨʔe	w ɨ ʔ e ( - - )	SIO
1504	w i ʔ i	138	house	wiʔi	w i ʔ i ( - - )	TAN
1505	w i ʔ i	138	house	wiʔi	w i ʔ i ( - - )	TUK
1506	w i i	138	house	wii	w i - i ( - - )	TUY
1507	w ɨ ʔ ɨ	138	house	wɨʔɨ	w ɨ ʔ ɨ ( - - )	WAN
1508	w ɨ ʔ e	138	house	*wɨʔe	w ɨ ʔ e ( - - )	*PT
#
1509	b ɨ h o	139	thunder	bɨho	( - ) b ɨ h o	BAS
1510	b u p u	139	thunder	bupu	( - ) b u p u	DES
1511	õ p õ	139	thunder	õpõ	( - ) - õ p õ	KUB
1512	m ɨ ʔh o	139	thunder	mɨʔho	( - ) m ɨ ʔh o	KUE
1513	m ɨ h a	139	thunder	mɨha	( - ) m ɨ h a	MAI
1514	m o h o	139	thunder	moho	( - ) m o h o	SEK
1515	m ɨ h o	139	thunder	mɨho	( - ) m ɨ h o	SIO
1516	a w ĩ p o	139	thunder	awĩpo	( a ) w ĩ p o	TAN
1517	b ɨ p o	139	thunder	bɨpo	( - ) b ɨ p o	TUK
1518	b ɨ p o	139	thunder	bɨpo	( - ) b ɨ p o	TUY
1519	w ɨ p o	139	thunder	wɨpo	( - ) w ɨ p o	WAN
1520	w ɨ̃ p o	139	thunder	*wɨ̃po	( - ) w ɨ̃ p o	*PT
#
1521	b u u	140	agouti	buu	b u u	BAS
1522	b u i	140	agouti	bui	b u i	DES
1523	b u u	140	agouti	buu	b u u	KAR
1524	β ɨ ɨ	140	agouti	βɨɨ	β ɨ ɨ	KOR
1525	b u ɨ	140	agouti	buɨ	b u ɨ	KUB
1526	w ɨ	140	agouti	wɨ	w ɨ -	SEK
1527	w ɨ	140	agouti	wɨ	w ɨ -	SIO
1528	b u i	140	agouti	bui	b u i	TAN
1529	b u u	140	agouti	buu	b u u	TUK
1530	b u u	140	agouti	buu	b u u	WAN
1531	w u ɨ	140	agouti	*wuɨ	w u ɨ	*PT
#
1532	ŋ ɨ̃ t ã	141	stone	~gɨta	ŋ ɨ̃ t ã	BAS
1533	ɨ̃ t ã	141	stone	~ɨta	- ɨ̃ t ã	DES
1534	ɨ̃ t ã	141	stone	~ɨta	- ɨ̃ t ã	KAR
1535	k a th a	141	stone	katha	k a th a	KOR
1536	k ɨ̃ t ã	141	stone	~kɨta	k ɨ̃ t ã	PIR
1537	k ɨ n a	141	stone	kɨna	k ɨ n a	SEK
1538	kʔ a t a	141	stone	kʔata	kʔ a t a	SIO
1539	ã t a	141	stone	ãta	- ã t a	TAN
1540	ɨ̃ t ã	141	stone	~ɨta	- ɨ̃ t ã	TUK
1541	ɨ̃ t ã	141	stone	~ɨta	- ɨ̃ t ã	TUY
1542	g ɨ l ɨ	141	stone	gɨlɨ	g ɨ l ɨ	YUP
1543	kʔ ɨ̃ t a	141	stone	*kʔɨ̃ta	kʔ ɨ̃ t a	*PT
